session,speaker,domain,is_true,trial,choice,rt,reward,expertise,q_overall,q_dom
0,Speaker1,A,1,0,1,2.1633875957103474,1,0.9,0.55,0.55
0,Speaker1,A,1,1,1,1.7918600984299708,1,0.9,0.5950000000000001,0.5950000000000001
0,Speaker1,B,1,2,0,17.24706449037323,1,0.75,0.6355000000000001,0.55
0,Speaker1,B,1,3,1,4.74219531055257,1,0.75,0.67195,0.5950000000000001
0,Speaker1,A,1,4,1,0.9669568993626387,1,0.9,0.704755,0.6355000000000001
0,Speaker1,A,1,5,1,1.49462307279751,1,0.9,0.7342795,0.67195
0,Speaker1,B,0,6,1,5.5394202574726545,0,0.75,0.66085155,0.5355000000000001
0,Speaker1,B,1,7,1,2.686761911806779,1,0.75,0.6947663949999999,0.5819500000000001
0,Speaker1,B,1,8,1,5.802020252931809,1,0.75,0.7252897555,0.6237550000000001
0,Speaker1,A,1,9,1,6.12852183205367,1,0.9,0.75276077995,0.704755
0,Speaker1,A,1,10,1,1.7443026490403337,1,0.9,0.777484701955,0.7342795
0,Speaker1,A,1,11,1,2.5489935822707577,1,0.9,0.7997362317594999,0.7608515499999999
0,Speaker1,A,1,12,1,3.453954819662808,1,0.9,0.8197626085835499,0.7847663949999999
0,Speaker1,B,1,13,0,4.942013307519485,1,0.75,0.8377863477251949,0.6613795
0,Speaker1,B,1,14,0,14.628448109726879,1,0.75,0.8540077129526754,0.69524155
0,Speaker1,B,1,15,1,3.8590428403361274,1,0.75,0.8686069416574078,0.725717395
0,Speaker1,B,1,16,1,1.986095169463669,1,0.75,0.8817462474916671,0.7531456555
0,Speaker1,A,0,17,1,1.8277513398697298,0,0.9,0.7935716227425004,0.7062897555
0,Speaker1,B,1,18,1,1.3303640622560826,1,0.75,0.8142144604682503,0.77783108995
0,Speaker1,A,1,19,1,1.5447601201242978,1,0.9,0.8327930144214253,0.7356607799499999
0,Speaker1,B,1,20,1,1.2096715887975353,1,0.75,0.8495137129792828,0.8000479809550001
0,Speaker1,A,1,21,1,5.737052651075909,1,0.9,0.8645623416813545,0.762094701955
0,Speaker1,A,1,22,1,2.800273983584878,1,0.9,0.878106107513219,0.7858852317595
0,Speaker1,B,1,23,1,1.7051342619703291,1,0.75,0.8902954967618971,0.8200431828595001
0,Speaker1,B,1,24,1,3.544059755612957,1,0.75,0.9012659470857074,0.83803886457355
0,Speaker1,B,0,25,1,1.2847114392410846,0,0.75,0.8111393523771366,0.754234978116195
0,Speaker1,B,1,26,1,5.223947265604232,1,0.75,0.830025417139423,0.7788114803045755
0,Speaker1,B,1,27,1,1.6349104527453284,1,0.75,0.8470228754254807,0.8009303322741179
0,Speaker1,B,0,28,1,1.213753421865108,0,0.75,0.7623205878829327,0.7208372990467061
0,Speaker1,A,1,29,1,0.8790847474963327,1,0.9,0.7860885290946394,0.80729670858355
0,Speaker1,B,1,30,1,3.364637921715199,1,0.75,0.8074796761851755,0.7487535691420355
0,Speaker1,A,1,31,1,1.4652538084917361,1,0.9,0.8267317085666579,0.8265670377251949
0,Speaker1,A,1,32,1,1.1289124057078126,1,0.9,0.8440585377099921,0.8439103339526755
0,Speaker1,B,0,33,1,2.044016803816977,0,0.75,0.7596526839389929,0.673878212227832
0,Speaker1,B,1,34,1,1.3621414617264318,1,0.75,0.7836874155450936,0.7064903910050487
0,Speaker1,A,1,35,1,0.8946564092328065,1,0.9,0.8053186739905842,0.8595193005574079
0,Speaker1,B,1,36,0,2.096692188593817,1,0.75,0.8247868065915258,0.7358413519045438
0,Speaker1,B,0,37,1,0.888458078915328,0,0.75,0.7423081259323733,0.6622572167140894
0,Speaker1,A,1,38,1,1.2769964784773007,1,0.9,0.768077313339136,0.8735673705016671
0,Speaker1,A,1,39,0,2.612190731884681,1,0.9,0.7912695820052223,0.8862106334515004
0,Speaker1,B,0,40,1,4.807892351960145,0,0.75,0.7121426238047002,0.5960314950426805
0,Speaker1,A,1,41,1,2.4569280994004794,1,0.9,0.7409283614242301,0.8975895701063503
0,Speaker1,A,1,42,1,2.7896249973211025,1,0.9,0.7668355252818071,0.9078306130957153
0,Speaker1,A,1,43,1,2.300286934105142,1,0.9,0.7901519727536264,0.9170475517861438
0,Speaker1,B,1,44,1,0.9274999372574992,1,0.75,0.8111367754782637,0.6364283455384124
0,Speaker1,A,1,45,1,5.171551793083831,1,0.9,0.8300230979304373,0.9253427966075295
0,Speaker1,B,0,46,1,1.2180907016686182,0,0.75,0.7470207881373936,0.5727855109845712
0,Speaker1,A,1,47,1,3.021580573697874,1,0.9,0.7723187093236542,0.9328085169467766
0,Speaker1,A,1,48,1,3.2616469543183384,1,0.9,0.7950868383912888,0.939527665252099
0,Speaker1,B,1,49,1,2.139842661496528,1,0.75,0.8155781545521599,0.615506959886114
0,Speaker1,B,0,50,1,4.989782799550259,0,0.75,0.7340203390969439,0.5539562638975026
0,Speaker1,A,1,51,1,1.623091707687669,1,0.9,0.7606183051872495,0.945574898726889
0,Speaker1,B,1,52,1,6.15186972840335,1,0.75,0.7845564746685245,0.5985606375077523
0,Speaker1,A,1,53,1,2.255494100366108,1,0.9,0.8061008272016721,0.9510174088542002
0,Speaker1,A,1,54,1,2.1091247115334175,1,0.9,0.8254907444815048,0.9559156679687801
0,Speaker1,A,1,55,0,0.9622162941852963,1,0.9,0.8429416700333543,0.9603241011719021
0,Speaker1,B,1,56,1,1.528630557134626,1,0.75,0.8586475030300189,0.6387045737569771
0,Speaker1,A,1,57,1,2.737070765205844,1,0.9,0.872782752727017,0.9642916910547119
0,Speaker1,B,0,58,1,1.337015393599099,0,0.75,0.7855044774543153,0.5748341163812793
0,Speaker1,A,1,59,1,3.1205291151537535,1,0.9,0.8069540297088837,0.9678625219492407
0,Speaker1,B,1,60,0,4.1023843595278535,1,0.75,0.8262586267379953,0.6173507047431515
0,Speaker1,B,1,61,1,5.492392093329792,1,0.75,0.8436327640641957,0.6556156342688363
0,Speaker1,B,1,62,1,2.5957826787224785,1,0.75,0.8592694876577761,0.6900540708419527
0,Speaker1,A,1,63,1,1.4611479471463662,1,0.9,0.8733425388919985,0.9710762697543166
0,Speaker1,A,1,64,1,4.540633759158156,1,0.9,0.8860082850027987,0.973968642778885
0,Speaker1,A,1,65,1,2.4439816627158866,1,0.9,0.8974074565025189,0.9765717785009964
0,Speaker1,A,1,66,1,3.2448407338508454,1,0.9,0.9076667108522669,0.9789146006508967
0,Speaker1,B,0,67,1,1.5826853224439785,0,0.75,0.8169000397670403,0.6210486637577575
0,Speaker1,B,1,68,1,3.684946719111008,1,0.75,0.8352100357903363,0.6589437973819817
0,Speaker1,A,1,69,0,1.3229321885527092,1,0.9,0.8516890322113027,0.9810231405858071
0,Speaker1,B,1,70,1,1.8446979124696303,1,0.75,0.8665201289901724,0.6930494176437836
0,Speaker1,A,1,71,1,1.3814373370834274,1,0.9,0.8798681160911551,0.9829208265272263
0,Speaker1,A,1,72,1,1.2495688394469404,1,0.9,0.8918813044820396,0.9846287438745037
0,Speaker1,A,1,73,1,1.4451867754376304,1,0.9,0.9026931740338356,0.9861658694870533
0,Speaker1,B,1,74,1,4.204619299790499,1,0.75,0.9124238566304521,0.7237444758794053
0,Speaker1,B,1,75,1,3.5871856595815017,1,0.75,0.9211814709674069,0.7513700282914647
0,Speaker1,B,1,76,1,2.0016055787701696,1,0.75,0.9290633238706661,0.7762330254623182
0,Speaker1,B,1,77,1,0.8658269686561336,1,0.75,0.9361569914835995,0.7986097229160863
0,Speaker1,A,1,78,1,5.518927511355568,1,0.9,0.9425412923352395,0.987549282538348
0,Speaker1,A,1,79,1,1.2989424011920507,1,0.9,0.9482871631017156,0.9887943542845131
0,Speaker1,B,1,80,1,1.0531432713025934,1,0.75,0.953458446791544,0.8187487506244777
0,Speaker1,B,1,81,1,1.9421124348243874,1,0.75,0.9581126021123896,0.83687387556203
0,Speaker1,A,1,82,1,0.8767670991524488,1,0.9,0.9623013419011506,0.9899149188560618
0,Speaker1,A,1,83,1,1.451381595999555,1,0.9,0.9660712077110355,0.9909234269704555
0,Speaker1,A,1,84,1,3.0990058186748444,1,0.9,0.9694640869399319,0.9918310842734099
0,Speaker1,A,1,85,1,1.4945999242633983,1,0.9,0.9725176782459387,0.9926479758460689
0,Speaker1,B,0,86,1,3.88602643301284,0,0.75,0.8752659104213448,0.753186488005827
0,Speaker1,B,1,87,1,1.7014283245907353,1,0.75,0.8877393193792104,0.7778678392052443
0,Speaker1,A,1,88,1,0.807231114303598,1,0.9,0.8989653874412893,0.993383178261462
0,Speaker1,A,1,89,1,3.2110944264132453,1,0.9,0.9090688486971603,0.9940448604353158
0,Speaker1,B,0,90,1,5.952663418014201,0,0.75,0.8181619638274443,0.7000810552847199
