session,speaker,domain,is_true,trial,choice,rt,reward,expertise,q_overall,q_dom
0,Speaker1,A,1,0,0,1.0528366429958815,1,0.9,0.55,0.55
0,Speaker1,A,1,1,1,1.652192304294912,1,0.9,0.5950000000000001,0.5950000000000001
0,Speaker1,B,1,2,1,2.849479766458044,1,0.75,0.6355000000000001,0.55
0,Speaker1,B,1,3,0,0.860028976182651,1,0.75,0.67195,0.5950000000000001
0,Speaker1,A,1,4,0,3.646548708057601,1,0.9,0.704755,0.6355000000000001
0,Speaker1,B,1,5,1,0.992328815527519,1,0.75,0.7342795,0.6355000000000001
0,Speaker1,A,1,6,0,0.978903520601687,1,0.9,0.7608515499999999,0.67195
0,Speaker1,B,1,7,0,0.4211738700247736,1,0.75,0.7847663949999999,0.67195
0,Speaker1,A,1,8,0,0.6483984058029364,1,0.9,0.8062897554999999,0.704755
0,Speaker1,A,1,9,0,1.3398701838241145,1,0.9,0.82566077995,0.7342795
0,Speaker1,B,1,10,1,0.4271106482554735,1,0.75,0.843094701955,0.704755
0,Speaker1,B,1,11,1,0.8934660233941085,1,0.75,0.8587852317595001,0.7342795
0,Speaker1,B,1,12,1,0.8482228572905612,1,0.75,0.87290670858355,0.7608515499999999
0,Speaker1,A,1,13,1,1.0162459420581165,1,0.9,0.885616037725195,0.7608515499999999
0,Speaker1,B,1,14,1,1.7272648697758943,1,0.75,0.8970544339526755,0.7847663949999999
0,Speaker1,A,1,15,1,2.4246861707922998,1,0.9,0.9073489905574079,0.7847663949999999
0,Speaker1,B,1,16,1,1.1556659037469228,1,0.75,0.9166140915016672,0.8062897554999999
0,Speaker1,B,1,17,1,0.5525139986445534,1,0.75,0.9249526823515004,0.82566077995
0,Speaker1,A,1,18,1,2.0402492170738524,1,0.9,0.9324574141163504,0.8062897554999999
0,Speaker1,A,1,19,1,1.0548991679901523,1,0.9,0.9392116727047154,0.82566077995
0,Speaker1,B,1,20,0,2.088926762062247,1,0.75,0.9452905054342439,0.843094701955
0,Speaker1,B,1,21,1,0.7963386709927066,1,0.75,0.9507614548908194,0.8587852317595001
0,Speaker1,B,1,22,1,1.5933213595002755,1,0.75,0.9556853094017375,0.87290670858355
0,Speaker1,A,1,23,1,0.7351752856147449,1,0.9,0.9601167784615637,0.843094701955
0,Speaker1,A,1,24,1,0.8105961022807475,1,0.9,0.9641051006154073,0.8587852317595001
0,Speaker1,B,1,25,1,1.6209987641807202,1,0.75,0.9676945905538666,0.885616037725195
0,Speaker1,B,1,26,1,0.6503842439744155,1,0.75,0.9709251314984799,0.8970544339526755
0,Speaker1,A,1,27,1,1.7137439203522784,1,0.9,0.9738326183486319,0.87290670858355
0,Speaker1,A,1,28,1,1.0306389292555656,1,0.9,0.9764493565137687,0.885616037725195
0,Speaker1,B,1,29,1,1.6435720170083379,1,0.75,0.9788044208623918,0.9073489905574079
0,Speaker1,A,1,30,1,1.0415280959414666,1,0.9,0.9809239787761527,0.8970544339526755
0,Speaker1,B,1,31,1,0.6949872018584478,1,0.75,0.9828315808985374,0.9166140915016672
0,Speaker1,B,0,32,1,0.6210135113313012,0,0.75,0.8845484228086836,0.8249526823515004
0,Speaker1,A,1,33,1,2.151365394646086,1,0.9,0.8960935805278153,0.9073489905574079
0,Speaker1,A,1,34,0,0.7279820823897225,1,0.9,0.9064842224750338,0.9166140915016672
0,Speaker1,A,1,35,1,0.6935958786563725,1,0.9,0.9158358002275304,0.9249526823515004
0,Speaker1,B,1,36,1,0.9455749482165111,1,0.75,0.9242522202047774,0.8424574141163503
0,Speaker1,B,1,37,1,0.9418617228001247,1,0.75,0.9318269981842996,0.8582116727047153
0,Speaker1,B,1,38,1,1.8980458411219623,1,0.75,0.9386442983658696,0.8723905054342438
0,Speaker1,A,1,39,1,1.2547155693590017,1,0.9,0.9447798685292826,0.9324574141163504
0,Speaker1,B,0,40,1,1.2658033266601192,0,0.75,0.8503018816763543,0.7851514548908194
0,Speaker1,B,1,41,0,0.7366700294275788,1,0.75,0.8652716935087189,0.8066363094017375
0,Speaker1,A,1,42,1,1.0928436460766422,1,0.9,0.878744524157847,0.9392116727047154
0,Speaker1,B,1,43,1,3.899803424145356,1,0.75,0.8908700717420622,0.8259726784615637
0,Speaker1,A,1,44,1,0.937609655511385,1,0.9,0.901783064567856,0.9452905054342439
0,Speaker1,B,1,45,0,1.3807923544064273,1,0.75,0.9116047581110703,0.8433754106154073
0,Speaker1,B,1,46,0,1.1997965124374979,1,0.75,0.9204442822999633,0.8590378695538666
0,Speaker1,A,1,47,1,1.3365475584077944,1,0.9,0.928399854069967,0.9507614548908194
0,Speaker1,B,1,48,1,0.4108603891011139,1,0.75,0.9355598686629703,0.8731340825984799
0,Speaker1,B,0,49,1,0.7814409485349202,0,0.75,0.8420038817966733,0.7858206743386319
0,Speaker1,B,1,50,1,2.9395358659447526,1,0.75,0.8578034936170059,0.8072386069047687
0,Speaker1,A,1,51,1,0.6241578748044391,1,0.9,0.8720231442553054,0.9556853094017375
0,Speaker1,A,1,52,1,1.606640527742196,1,0.9,0.8848208298297748,0.9601167784615637
0,Speaker1,B,1,53,1,15.70176440330895,1,0.75,0.8963387468467974,0.8265147462142918
0,Speaker1,B,1,54,1,0.9871885446991683,1,0.75,0.9067048721621176,0.8438632715928626
0,Speaker1,A,1,55,0,0.8470501166504896,1,0.9,0.9160343849459058,0.9641051006154073
0,Speaker1,B,1,56,1,2.332763174343312,1,0.75,0.9244309464513153,0.8594769444335763
0,Speaker1,A,1,57,1,1.0593620127162746,1,0.9,0.9319878518061837,0.9676945905538666
0,Speaker1,A,1,58,1,1.155576025500635,1,0.9,0.9387890666255654,0.9709251314984799
0,Speaker1,A,1,59,1,0.7611263643118769,1,0.9,0.9449101599630089,0.9738326183486319
0,Speaker1,B,1,60,1,0.5854968200649957,1,0.75,0.950419143966708,0.8735292499902186
0,Speaker1,B,0,61,1,1.5822759925115857,0,0.75,0.8553772295700373,0.7861763249911968
0,Speaker1,A,1,62,1,1.4885998649417505,1,0.9,0.8698395066130336,0.9764493565137687
0,Speaker1,B,1,63,1,0.843230078433373,1,0.75,0.8828555559517302,0.8075586924920771
0,Speaker1,A,1,64,1,1.0775996979171305,1,0.9,0.8945700003565571,0.9788044208623918
0,Speaker1,B,1,65,1,0.44492160598668157,1,0.75,0.9051130003209014,0.8268028232428694
0,Speaker1,B,1,66,1,1.7823726512881644,1,0.75,0.9146017002888113,0.8441225409185824
0,Speaker1,B,1,67,1,2.044490781144838,1,0.75,0.9231415302599302,0.8597102868267241
0,Speaker1,A,1,68,0,1.112618476886965,1,0.9,0.9308273772339372,0.9809239787761527
0,Speaker1,B,1,69,0,1.0454153478871575,1,0.75,0.9377446395105434,0.8737392581440517
0,Speaker1,A,1,70,1,0.804246695702972,1,0.9,0.943970175559489,0.9828315808985374
0,Speaker1,B,0,71,1,1.9732045437699635,0,0.75,0.8495731580035402,0.7863653323296466
0,Speaker1,B,1,72,1,0.6709591412353515,1,0.75,0.8646158422031861,0.8077287990966819
0,Speaker1,A,1,73,1,0.4522803885329644,1,0.9,0.8781542579828675,0.9845484228086836
0,Speaker1,A,1,74,1,0.6920113045793775,1,0.9,0.8903388321845808,0.9860935805278153
0,Speaker1,A,1,75,1,0.9449848549843358,1,0.9,0.9013049489661227,0.9874842224750338
0,Speaker1,B,1,76,1,1.4896288620831888,1,0.75,0.9111744540695104,0.8269559191870137
0,Speaker1,B,0,77,1,0.9691206234032492,0,0.75,0.8200570086625594,0.7442603272683124
0,Speaker1,A,1,78,1,0.6141691701271501,1,0.9,0.8380513077963034,0.9887358002275304
0,Speaker1,A,1,79,1,0.8343509374864475,1,0.9,0.854246177016673,0.9898622202047773
0,Speaker1,B,1,80,1,2.6874566527466865,1,0.75,0.8688215593150057,0.7698342945414811
0,Speaker1,B,1,81,1,1.70508754282427,1,0.75,0.8819394033835052,0.792850865087333
0,Speaker1,A,1,82,0,2.6484948743257206,1,0.9,0.8937454630451547,0.9908759981842996
0,Speaker1,A,1,83,1,0.513836227529011,1,0.9,0.9043709167406392,0.9917883983658696
0,Speaker1,A,1,84,1,0.8185251592082046,1,0.9,0.9139338250665753,0.9926095585292827
0,Speaker1,A,1,85,0,2.794360465278338,1,0.9,0.9225404425599177,0.9933486026763544
0,Speaker1,B,1,86,1,0.9726538622477708,1,0.75,0.930286398303926,0.8135657785785997
0,Speaker1,A,1,87,1,0.9191432464871947,1,0.9,0.9372577584735334,0.994013742408719
0,Speaker1,A,1,88,1,0.4894599380713761,1,0.9,0.9435319826261801,0.994612368167847
0,Speaker1,A,1,89,1,1.1408320983216427,1,0.9,0.9491787843635621,0.9951511313510624
0,Speaker1,A,0,90,1,0.5828752089789715,0,0.9,0.8542609059272058,0.8956360182159562
0,Speaker1,B,1,91,1,0.5701963484826257,1,0.75,0.8688348153344853,0.8322092007207397
0,Speaker1,A,1,92,1,0.5336417792519299,1,0.9,0.8819513338010367,0.9060724163943605
0,Speaker1,A,0,93,0,0.15005148400057422,0,0.9,0.7937562004209331,0.8154651747549245
0,Speaker1,B,1,94,1,0.7962412432405183,1,0.75,0.8143805803788398,0.8489882806486657
0,Speaker1,B,1,95,1,2.4302237121866472,1,0.75,0.8329425223409558,0.8640894525837991
0,Speaker1,A,0,96,0,0.5821177251953884,0,0.9,0.7496482701068602,0.7339186572794321
0,Speaker1,A,1,97,1,1.0912022751005248,1,0.9,0.7746834430961742,0.7605267915514888
0,Speaker1,A,1,98,1,0.59442313428764,1,0.9,0.7972150987865568,0.7844741123963399
0,Speaker1,B,0,99,1,0.8488994056537382,0,0.75,0.7174935889079012,0.7776805073254192
0,Speaker2,A,1,100,1,2.66360265172,1,0.75,0.55,0.55
0,Speaker2,B,1,101,1,0.872069603088367,1,0.9,0.5950000000000001,0.55
0,Speaker2,A,1,102,1,3.3714696150374275,1,0.75,0.6355000000000001,0.5950000000000001
0,Speaker2,A,0,103,1,1.2808223292859986,0,0.75,0.5719500000000001,0.5355000000000001
0,Speaker2,A,1,104,0,0.5746860607289257,1,0.75,0.614755,0.5819500000000001
0,Speaker2,A,1,105,1,1.2901985319048215,1,0.75,0.6532795,0.6237550000000001
0,Speaker2,B,1,106,1,0.8320341254878296,1,0.9,0.68795155,0.5950000000000001
0,Speaker2,B,1,107,1,1.0768725819628715,1,0.9,0.719156395,0.6355000000000001
0,Speaker2,A,1,108,1,0.7813160750756484,1,0.75,0.7472407554999999,0.6613795
0,Speaker2,A,1,109,0,0.8500029774946434,1,0.75,0.77251667995,0.69524155
0,Speaker2,B,1,110,1,2.1722640287690194,1,0.9,0.795265011955,0.67195
0,Speaker2,B,1,111,1,1.4819577236622126,1,0.9,0.8157385107595,0.704755
0,Speaker2,B,1,112,1,0.4311085335785994,1,0.9,0.83416465968355,0.7342795
0,Speaker2,A,1,113,1,2.979279734277423,1,0.75,0.8507481937151951,0.725717395
0,Speaker2,A,1,114,1,0.8856354605790764,1,0.75,0.8656733743436755,0.7531456555
0,Speaker2,A,1,115,1,0.4754341902798905,1,0.75,0.879106036909308,0.77783108995
0,Speaker2,B,1,116,1,3.2068708687065417,1,0.9,0.8911954332183772,0.7608515499999999
0,Speaker2,B,1,117,1,0.6948936117586998,1,0.9,0.9020758898965395,0.7847663949999999
0,Speaker2,B,0,118,1,0.9301317132512907,0,0.9,0.8118683009068856,0.7062897555
0,Speaker2,B,1,119,1,0.8846394414628299,1,0.9,0.830681470816197,0.7356607799499999
