session,speaker,domain,is_true,trial,choice,rt,reward,expertise,q_overall,q_dom
0,Speaker1,A,0,0,1,3.560288200890709,0,0.9,0.45,0.45
0,Speaker1,B,1,1,1,1.2795879577367821,1,0.75,0.505,0.55
0,Speaker1,B,1,2,1,2.7953191986982286,1,0.75,0.5545,0.5950000000000001
0,Speaker1,B,0,3,1,4.543495862734758,0,0.75,0.49905,0.5355000000000001
0,Speaker1,B,1,4,1,3.9866100562952096,1,0.75,0.549145,0.5819500000000001
0,Speaker1,A,0,5,1,2.635444380750897,0,0.9,0.4942305,0.405
0,Speaker1,B,1,6,0,3.1005722911708666,1,0.75,0.5448074500000001,0.6237550000000001
0,Speaker1,A,1,7,0,1.0495142391160641,1,0.9,0.5903267050000001,0.4645
0,Speaker1,A,1,8,1,1.6745864457185617,1,0.9,0.6312940345000001,0.51805
0,Speaker1,A,0,9,1,1.5486414719370183,0,0.9,0.5681646310500001,0.466245
0,Speaker1,B,1,10,1,1.9496385667029565,1,0.75,0.6113481679450001,0.6613795
0,Speaker1,A,1,11,1,3.600473254471882,1,0.9,0.6502133511505002,0.5196205
0,Speaker1,B,1,12,1,1.2675374084039386,1,0.75,0.6851920160354501,0.69524155
0,Speaker1,B,1,13,1,2.207301341567937,1,0.75,0.7166728144319051,0.725717395
0,Speaker1,A,1,14,1,2.9142291796178483,1,0.9,0.7450055329887146,0.56765845
0,Speaker1,A,1,15,1,7.577520623060561,1,0.9,0.7705049796898432,0.610892605
0,Speaker1,B,1,16,1,1.3528797699090718,1,0.75,0.7934544817208589,0.7531456555
0,Speaker1,B,1,17,1,4.2197134004827666,1,0.75,0.814109033548773,0.77783108995
0,Speaker1,B,1,18,1,2.687201129230246,1,0.75,0.8326981301938956,0.8000479809550001
0,Speaker1,A,1,19,1,3.118643299657256,1,0.9,0.8494283171745061,0.6498033445
0,Speaker1,B,1,20,1,1.8439671113822205,1,0.75,0.8644854854570555,0.8200431828595001
0,Speaker1,A,1,21,1,2.2827685594473737,1,0.9,0.87803693691135,0.68482301005
0,Speaker1,A,0,22,1,1.489996974210554,0,0.9,0.790233243220215,0.616340709045
0,Speaker1,A,0,23,1,4.162327019911681,0,0.9,0.7112099188981935,0.5547066381405
0,Speaker1,B,1,24,1,1.7245066993009102,1,0.75,0.7400889270083741,0.83803886457355
0,Speaker1,B,1,25,1,2.827087314049175,1,0.75,0.7660800343075367,0.854234978116195
0,Speaker1,A,1,26,0,5.727577644514724,1,0.9,0.789472030876783,0.59923597432645
0,Speaker1,A,1,27,1,1.7478079609794257,1,0.9,0.8105248277891046,0.639312376893805
0,Speaker1,A,1,28,1,1.320102429744677,1,0.9,0.8294723450101942,0.6753811392044246
0,Speaker1,A,0,29,1,1.7037481861578687,0,0.9,0.7465251105091748,0.6078430252839822
0,Speaker1,A,0,30,1,3.4095105847468465,0,0.9,0.6718725994582574,0.547058722755584
0,Speaker1,A,0,31,1,4.445453269818,0,0.9,0.6046853395124316,0.4923528504800256
0,Speaker1,B,1,32,0,1.40501714265487,1,0.75,0.6442168055611884,0.8688114803045754
0,Speaker1,A,1,33,1,1.4181213260003958,1,0.9,0.6797951250050696,0.543117565432023
0,Speaker1,A,1,34,0,4.319454762451144,1,0.9,0.7118156125045626,0.5888058088888207
0,Speaker1,A,0,35,1,3.902114036431249,0,0.9,0.6406340512541063,0.5299252279999387
0,Speaker1,A,1,36,1,2.229708998462017,1,0.9,0.6765706461286957,0.5769327051999449
0,Speaker1,B,1,37,1,2.421677954429965,1,0.75,0.7089135815158261,0.8819303322741179
0,Speaker1,A,0,38,0,3.4602832609962597,0,0.9,0.6380222233642435,0.5192394346799504
0,Speaker1,B,0,39,1,1.0962391409897128,0,0.75,0.5742200010278192,0.7937372990467061
0,Speaker1,B,0,40,1,3.850157656841086,0,0.75,0.5167980009250374,0.7143635691420355
0,Speaker1,B,1,41,1,2.2895485757360343,1,0.75,0.5651182008325336,0.7429272122278319
0,Speaker1,A,0,42,1,2.268697934709422,0,0.9,0.5086063807492802,0.46731549121195537
0,Speaker1,B,1,43,1,1.7203589960987102,1,0.75,0.5577457426743522,0.7686344910050487
0,Speaker1,A,0,44,1,0.9977398039904927,0,0.9,0.501971168406917,0.42058394209075983
0,Speaker1,B,1,45,1,1.5323035899383375,1,0.75,0.5517740515662254,0.7917710419045438
0,Speaker1,B,1,46,1,6.306108432075757,1,0.75,0.5965966464096029,0.8125939377140895
0,Speaker1,B,1,47,1,2.0308507183703326,1,0.75,0.6369369817686426,0.8313345439426806
0,Speaker1,B,1,48,1,5.633070601081097,1,0.75,0.6732432835917783,0.8482010895484126
0,Speaker1,A,1,49,1,7.2678536171248505,1,0.9,0.7059189552326005,0.4785255478816839
0,Speaker1,A,1,50,1,9.798618356325697,1,0.9,0.7353270597093404,0.5306729930935156
