session,speaker,domain,is_true,trial,choice,rt,reward,expertise,q_overall,q_dom
0,Speaker1,A,1,0,1,1.0005424263154352,1,0.9,0.55,0.55
0,Speaker1,B,0,1,1,2.8492036514730255,0,0.65,0.49500000000000005,0.45
0,Speaker1,B,1,2,0,1.083889356689646,1,0.65,0.5455000000000001,0.505
0,Speaker1,B,1,3,1,1.9188891032197353,1,0.65,0.5909500000000001,0.5545
0,Speaker1,B,0,4,1,2.4274325578628697,0,0.65,0.5318550000000001,0.49905
0,Speaker1,A,1,5,1,5.602526051813115,1,0.9,0.5786695000000001,0.5950000000000001
0,Speaker1,B,1,6,1,1.902128616915722,1,0.65,0.6208025500000001,0.549145
0,Speaker1,A,1,7,1,1.2521279365914373,1,0.9,0.658722295,0.6355000000000001
0,Speaker1,A,1,8,1,5.751340011594027,1,0.9,0.6928500655000001,0.67195
0,Speaker1,A,1,9,1,1.768104023183661,1,0.9,0.72356505895,0.704755
0,Speaker1,A,1,10,0,1.5706961100605739,1,0.9,0.751208553055,0.7342795
0,Speaker1,A,1,11,0,3.424792053726165,1,0.9,0.7760876977495,0.7608515499999999
0,Speaker1,B,1,12,1,6.321268409718725,1,0.65,0.79847892797455,0.5942305
0,Speaker1,A,1,13,1,1.142118748136434,1,0.9,0.818631035177095,0.7847663949999999
0,Speaker1,B,1,14,1,1.6863898819866954,1,0.65,0.8367679316593855,0.6348074499999999
0,Speaker1,B,0,15,1,1.4995393999339448,0,0.65,0.7530911384934469,0.5713267049999999
0,Speaker1,A,1,16,1,1.7401779321333959,1,0.9,0.7777820246441022,0.8062897554999999
0,Speaker1,A,1,17,1,2.323349270881905,1,0.9,0.8000038221796919,0.82566077995
0,Speaker1,B,0,18,1,2.004163432345664,0,0.65,0.7200034399617228,0.5141940345
0,Speaker1,B,1,19,1,1.8825284898666585,1,0.65,0.7480030959655505,0.56277463105
0,Speaker1,A,1,20,1,1.1170418491341612,1,0.9,0.7732027863689954,0.843094701955
0,Speaker1,A,1,21,1,1.1244715718704827,1,0.9,0.7958825077320959,0.8587852317595001
0,Speaker1,A,1,22,1,6.773523982597509,1,0.9,0.8162942569588864,0.87290670858355
0,Speaker1,A,1,23,1,1.370205147850655,1,0.9,0.8346648312629977,0.885616037725195
0,Speaker1,B,1,24,1,6.736186675855181,1,0.65,0.8511983481366979,0.606497167945
0,Speaker1,B,1,25,1,1.5465153450164022,1,0.65,0.8660785133230281,0.6458474511505
0,Speaker1,A,1,26,1,4.15701858622137,1,0.9,0.8794706619907253,0.8970544339526755
0,Speaker1,B,0,27,1,1.6922583726782494,0,0.65,0.7915235957916528,0.58126270603545
0,Speaker1,A,1,28,1,1.5420146330055007,1,0.9,0.8123712362124875,0.9073489905574079
0,Speaker1,B,0,29,1,4.382210181194701,0,0.65,0.7311341125912388,0.523136435431905
0,Speaker1,A,1,30,1,1.6076882461625752,1,0.9,0.758020701332115,0.9166140915016672
0,Speaker1,B,0,31,1,7.364594003259317,0,0.65,0.6822186311989035,0.4708227918887145
0,Speaker1,A,0,32,1,3.6495183817699566,0,0.9,0.6139967680790132,0.8249526823515004
0,Speaker1,B,0,33,1,1.6583345470944237,0,0.65,0.5525970912711119,0.4237405126998431
0,Speaker1,B,1,34,0,7.675141237139588,1,0.65,0.5973373821440007,0.48136646142985884
0,Speaker1,A,1,35,1,4.510538242468928,1,0.9,0.6376036439296006,0.8424574141163503
0,Speaker1,A,1,36,1,3.8264225977708315,1,0.9,0.6738432795366405,0.8582116727047153
0,Speaker1,A,1,37,1,1.5257475247188816,1,0.9,0.7064589515829764,0.8723905054342438
0,Speaker1,A,1,38,1,3.6600789252704375,1,0.9,0.7358130564246788,0.8851514548908194
0,Speaker1,A,1,39,1,1.5725301857144014,1,0.9,0.7622317507822108,0.8966363094017374
0,Speaker1,A,1,40,1,1.4194679410099063,1,0.9,0.7860085757039897,0.9069726784615637
0,Speaker1,A,1,41,1,2.2015150833862944,1,0.9,0.8074077181335908,0.9162754106154073
0,Speaker1,A,1,42,1,1.4105931340494706,1,0.9,0.8266669463202317,0.9246478695538666
0,Speaker1,A,1,43,1,2.1191347252873776,1,0.9,0.8440002516882086,0.9321830825984799
0,Speaker1,A,1,44,1,4.8423524055631475,1,0.9,0.8596002265193877,0.9389647743386319
0,Speaker1,B,1,45,1,12.764615859814375,1,0.65,0.8736402038674489,0.533229815286873
0,Speaker1,B,1,46,1,3.234440725067072,1,0.65,0.886276183480704,0.5799068337581856
0,Speaker1,B,1,47,1,2.710268154489265,1,0.65,0.8976485651326336,0.621916150382367
0,Speaker1,A,0,48,1,2.6244929895914044,0,0.9,0.8078837086193702,0.8450682969047687
0,Speaker1,A,1,49,1,2.3441639142202835,1,0.9,0.8270953377574332,0.8605614672142918
0,Speaker1,A,1,50,1,1.194069713734508,1,0.9,0.8443858039816898,0.8745053204928627
0,Speaker1,B,1,51,0,1.707895106202301,1,0.65,0.8599472235835208,0.6597245353441303
0,Speaker1,A,1,52,1,3.3967156910914125,1,0.9,0.8739525012251688,0.8870547884435764
0,Speaker1,B,1,53,0,1.5427276815899944,1,0.65,0.8865572511026519,0.6937520818097173
0,Speaker1,B,0,54,1,2.121171916608264,0,0.65,0.7979015259923867,0.6243768736287455
0,Speaker1,B,1,55,1,2.362398219736774,1,0.65,0.8181113733931481,0.6619391862658709
0,Speaker1,B,0,56,1,1.374231495729966,0,0.65,0.7363002360538333,0.5957452676392838
0,Speaker1,B,0,57,1,2.7182502119814145,0,0.65,0.66267021244845,0.5361707408753554
0,Speaker1,A,1,58,1,1.5158151958771096,1,0.9,0.696403191203605,0.8983493095992188
0,Speaker1,B,1,59,0,4.457209418989365,1,0.65,0.7267628720832445,0.58255366678782
0,Speaker1,B,1,60,1,1.3258776899186653,1,0.65,0.7540865848749201,0.624298300109038
0,Speaker1,A,1,61,1,5.006883191880934,1,0.9,0.778677926387428,0.9085143786392968
0,Speaker1,B,1,62,1,1.5350346926100193,1,0.65,0.8008101337486853,0.6618684700981342
0,Speaker1,B,1,63,1,5.194312542320157,1,0.65,0.8207291203738167,0.6956816230883208
0,Speaker1,B,1,64,1,6.829894526215742,1,0.65,0.8386562083364351,0.7261134607794887
0,Speaker1,A,1,65,1,1.1603487694234054,1,0.9,0.8547905875027916,0.9176629407753671
0,Speaker1,B,1,66,1,0.8696218462424437,1,0.65,0.8693115287525124,0.7535021147015398
0,Speaker1,B,0,67,1,3.9886516582412574,0,0.65,0.7823803758772612,0.6781519032313859
0,Speaker1,B,1,68,1,2.160737942130714,1,0.65,0.8041423382895351,0.7103367129082473
0,Speaker1,B,1,69,1,1.2405363786968842,1,0.65,0.8237281044605815,0.7393030416174226
0,Speaker1,B,0,70,1,3.8951700340540625,0,0.65,0.7413552940145234,0.6653727374556803
0,Speaker1,A,1,71,1,3.056592195658232,1,0.9,0.7672197646130711,0.9258966466978304
0,Speaker1,B,1,72,1,2.9157006654462316,1,0.65,0.790497788151764,0.6988354637101122
0,Speaker1,A,1,73,1,3.453367854127316,1,0.9,0.8114480093365876,0.9333069820280474
0,Speaker1,A,1,74,1,0.7520071801761593,1,0.9,0.8303032084029288,0.9399762838252427
0,Speaker1,B,1,75,1,6.351794487860805,1,0.65,0.847272887562636,0.7289519173391009
0,Speaker1,B,1,76,1,1.8866582403889205,1,0.65,0.8625455988063724,0.7560567256051908
0,Speaker1,A,1,77,1,2.07766680410448,1,0.9,0.8762910389257351,0.9459786554427184
0,Speaker1,A,1,78,1,1.0406939644747493,1,0.9,0.8886619350331616,0.9513807898984465
0,Speaker1,B,1,79,1,5.761686158451729,1,0.65,0.8997957415298454,0.7804510530446717
